id_municipio,populacao_2022,area_km2,densidade_hab_km2
2206670,6425,328.408,19.56
2206696,9797,475.72,20.59
2206704,6665,1315.841,5.07
2206720,10262,362.376,28.32
2206753,5228,356.872,14.65
2206803,8525,357.896,23.82
2206902,6097,525.906,11.59
2206951,2827,443.872,6.37
2207009,38161,2703.138,14.12
2207108,2637,183.603,14.36
2207207,6382,278.696,22.9
2207306,4088,401.378,10.18
2207355,3000,986.961,3.04
2207405,4952,2024.02,2.45
2207504,13264,1493.764,8.88
2207553,3813,432.572,8.81
2207603,10103,3428.811,2.95
2207702,162159,436.907,371.15
2207751,4135,643.226,6.43
2207777,5425,801.403,6.77
2207793,3880,430.023,9.02
2207801,21055,1941.111,10.85
2207850,3628,1090.697,3.33
2207900,37894,1544.413,24.54
2207934,2458,870.614,2.82
2207959,4076,909.734,4.48
2208007,83090,577.284,143.93
2208106,11341,4562.58,2.49
2208205,17613,1948.142,9.04
2208304,28846,2368.935,12.18
2208403,65538,1407.192,46.57
2208502,12052,253.113,47.62
2208551,2364,1168.044,2.02
2208601,3042,196.787,15.46
2208650,8738,1283.369,6.81
2208700,8394,2470.531,3.4
2208809,17133,1251.321,13.69
2208858,4165,2220.598,1.88
2208874,4055,1012.479,4.01
2208908,6164,3987.147,1.55
2209005,5801,635.953,9.12
2209104,5831,582.658,10.01
2209153,3435,978.547,3.51
2209203,6087,5293.693,1.15
2209302,5336,1185.398,4.5
2209351,4125,112.189,36.77
2209377,4650,338.336,13.74
2209401,5839,385.286,15.15
2209450,2138,33.64,63.56
2209500,3646,852.106,4.28
2209559,4358,656.042,6.64
2209609,2842,627.033,4.53
2209658,5572,1072.311,5.2
2209708,5392,1341.451,4.02
2209757,2947,1385.255,2.13
2209807,4837,150.495,32.14
2209856,4242,480.537,8.83
2209872,5522,817.111,6.76
2209906,6114,994.224,6.15
2209955,4383,394.456,11.11
2209971,8186,213.377,38.36
2210003,21421,1527.497,14.02
2210052,4841,319.367,15.16
2210102,3297,1287.174,2.56
2210201,6597,373.347,17.67
2210300,6025,291.089,20.7
2210359,4410,673.822,6.54
2210375,2309,217.924,10.6
2210383,2269,444.528,5.1
2210391,2829,813.444,3.48
2210409,17554,4988.973,3.52
2210508,13755,518.288,26.54
2210607,38934,2415.287,16.12
2210623,3202,893.488,3.58
2210631,4446,3148.857,1.41
2210656,9460,1031.101,9.17
2210706,14350,1076.055,13.34
2210805,13870,1360.028,10.2
2210904,4141,761.854,5.44
2210938,6220,205.194,30.31
2210953,2949,1587.296,1.86
2210979,2316,398.007,5.82
2211001,866300,1391.293,622.66
2211100,46119,1170.742,39.39
2211209,25203,8413.016,3.0
